Name;Revenue_EUR;Market_Cap_EUR;Revenue_USD;Market_Cap_USD;RATIO_EUR;RATIO_USD;HQ;Industry
Siemens;70541160000;134250000000;77860000000;148180000000;0,53;0,53;Munich / Berlin;Conglomerate
Deutsche Telekom;108817848000;108180000000;120108000000;119400000000;1,01;1,01;Bonn;Telecommunications
Allianz;116927454000;94790000000;129059000000;104630000000;1,23;1,23;Munich;Insurance
BMW;135891846000;66160000000;149991000000;73020000000;2,05;2,05;Munich;Automotive
Volkswagen;266078610000;57680000000;293685000000;63660000000;4,61;4,61;Wolfsburg;Automotive
BASF;83212476000;43540000000;91846000000;48060000000;1,91;1,91;Ludwigshafen;Chemicals
Uniper;261207954000;34010000000;288309000000;37540000000;7,68;7,68;Düsseldorf;Electric utility
Bayer;48348690000;33040000000;53365000000;36470000000;1,46;1,46;Leverkusen;Pharmaceuticals
E.ON;110211276000;31720000000;121646000000;35010000000;3,47;3,47;Essen;Electric utility
RWE;36558912000;30740000000;40352000000;33930000000;1,19;1,19;Essen;Electric utility
Daimler Truck;48545292000;27870000000;53582000000;30760000000;1,74;1,74;Leinfelden-Echterdingen;Automotive
Hapag-Lloyd;32915886000;26160000000;36331000000;28870000000;1,26;1,26;Hamburg;Shipping
Deutsche Bank;38310210000;24890000000;42285000000;27470000000;1,54;1,54;Frankfurt;Banking
Talanx;50762274000;16770000000;56029000000;18510000000;3,03;3,03;Hanover;Insurance
Fresenius;38916324000;15810000000;42954000000;17450000000;2,46;2,46;Bad Homburg;Healthcare
Lufthansa;31208076000;9630000000;34446000000;10630000000;3,24;3,24;Cologne;Airline
Siemens Energy;28418502000;9480000000;31367000000;10460000000;3;3;Munich;Energy technology
Thyssenkrupp;40318812000;3940000000;44502000000;4350000000;10,23;10,23;Essen;Conglomerate
