Rank;Fortune 500rank;Name;Industry;Revenue(USD);Revenue (EUR);Profits(USD);Headquarters
1;15;Volkswagen;Automotive;293685000000.0;266078610000.0;15223000000.0;Wolfsburg
2;16;Uniper;Electric utility;288309000000.0;261207954000.0;-19961000000.0;Düsseldorf
3;47;Mercedes-Benz Group;Automotive;157782000000.0;142950492000.0;15252000000.0;Stuttgart
4;57;BMW;Automotive;149991000000.0;135891846000.0;18870000000.0;Munich
5;67;Allianz;Insurance;129059000000.0;116927454000.0;7087000000.0;Munich
6;73;E.ON;Electric utility;121646000000.0;110211276000.0;1926000000.0;Essen
7;79;Deutsche Telekom;Telecommunications;120108000000.0;108817848000.0;8415000000.0;Bonn
8;103;Deutsche Post;Transportation;99324000000.0;89987544000.0;5636000000.0;Bonn
9;118;Robert Bosch GmbH;Automotive parts;91847000000.0;83213382000.0;1367000000.0;Stuttgart
10;119;BASF;Chemicals;91846000000.0;83212476000.0;-660000000.0;Ludwigshafen
11;162;Siemens;Conglomerate;77860000000.0;70541160000.0;4027000000.0;Munich / Berlin
12;170;Munich Re;Insurance;75747000000.0;68626782000.0;3610000000.0;Munich
13;232;Deutsche Bahn;Transportation;59210000000.0;53644260000.0;-262000000.0;Berlin
14;237;EnBW;Electric utility;58901000000.0;53364306000.0;1828000000.0;Karlsruhe
15;249;Talanx;Insurance;56029000000.0;50762274000.0;1233000000.0;Hanover
16;264;Daimler Truck;Automotive;53582000000.0;48545292000.0;2803000000.0;Leinfelden-Echterdingen
17;265;Bayer;Pharmaceuticals;53365000000.0;48348690000.0;4365000000.0;Leverkusen
18;288;Edeka Zentrale;Retail;49481000000.0;44829786000.0;416000000.0;Hamburg
19;315;ZF Friedrichshafen;Automotive parts;46068000000.0;41737608000.0;239000000.0;Friedrichshafen
20;330;ThyssenKrupp;Conglomerate;44502000000.0;40318812000.0;1229000000.0;Essen
21;346;Fresenius;Healthcare;42954000000.0;38916324000.0;1443000000.0;Bad Homburg
22;354;Deutsche Bank;Banking;42285000000.0;38310210000.0;5701000000.0;Frankfurt
23;362;Continental AG;Automotive parts;41449000000.0;37552794000.0;70000000.0;Hanover
24;367;RWE;Electric utility;40352000000.0;36558912000.0;2858000000.0;Essen
25;388;Phoenix Pharmahandel;Retail;38045000000.0;34468770000.0;252000000.0;Mannheim
26;416;Hapag-Lloyd;Shipping;36331000000.0;32915886000.0;252000000.0;Hamburg
27;438;Lufthansa;Airline;34446000000.0;31208076000.0;832000000.0;Cologne
28;472;SAP SE;Technology;32469000000.0;29416914000.0;2402000000.0;Walldorf
29;474;Metro AG;Retail;32186000000.0;29160516000.0;-361000000.0;Düsseldorf
30;490;Siemens Energy;Energy technology;31367000000.0;28418502000.0;-437000000.0;Munich
